id,name,location.lat,location.lon,building_type,food_type,image link,image source
"('node', 4829207027)",Quán Ăn Dương Thành,10.7559138,106.6465668,restaurant,chinese;diner;breakfast;coffee_shop;fish;chicken;seafood;noodles;deli;tea;beef_bowl;asian;regional;vietnamese,https://lh3.googleusercontent.com/p/AF1QipNOX-Fl3OTQqzsG7II37s6zpOMOpJnUaBVYd616=s1360-w1360-h1020-rw,
"('node', 4855417146)",Ganesh,10.7302076,106.7078529,restaurant,indian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyUkn-7g_7oEjT5GfBkjINbAtCvxva7-X3K7fhPMGz3q8L71pRCbHTcZpkQK0syyOjUEhTHkea1eWUupGflhnROLn4OeBumd68MmCUOaXfnDKnc4gowKM4Pi4Xa1qhDC1qWFWRNq9oWbAcQ=s1360-w1360-h1020-rw,
"('node', 4855417147)",Kadohachi,10.7293411,106.7089901,restaurant,japanese,https://lh3.googleusercontent.com/p/AF1QipPGooopMUx3VymQDMbvRMHnJR7h4DNMFii_mCVM=s1360-w1360-h1020-rw,
"('node', 4855451452)",Nathalie's,10.7293374,106.7087772,restaurant,thai,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyILMJsC-gzakdkQBzhpn8ApiFOKA48x2_gD-U6nT6wyPs9re4usXagifRGWkw9_Kj63ZXn2NUOpS2tbTZH9MO9v5xgUq5B3ZlFg21ObqHje1J7G4Xtp-SulxaoYdGQPhu52xRfQmE7NQmZ=s1360-w1360-h1020-rw,
"('node', 4855542417)",RIO Restaurant,10.7332154,106.7086786,restaurant,vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTfqirvEs5WJcut3S7IcVWQRVPK5VsJLxpKYuCMpcJMDLxuds9ey1ETyFDHQ93UQFFhWRAcWJPCSHcaKNc7EdpdiuGnKoegFPT3OQ9-SugkNiBvUU0foYYAD4moAftSxo1S4Pxig=s1360-w1360-h1020-rw,
"('node', 4861414898)",The Tavern,10.7327247,106.7086924,restaurant,international,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMxUV67La4UFnXVM_66zry2BL1HxqFxPyBaC-tEPfNv7QCROxDcQAgKnSviYTS5bTPds6O8LstHnjWsMZG0WIjwen41DtXqggt0kiyWILHR93eBj8EtF9MKaXIHEBjYvioNs6v2Q=s1360-w1360-h1020-rw,
"('node', 4862002521)",CƠM NIÊU MÂY HỒNG,10.6434591,107.0443509,restaurant,vietnamese,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziK1izSP2nR6KpLV_aWeANqGm53-H7UyQa3JvI3HKQPTe23V_DlR6fR0GpTki9Lv3G4DGouJiNGGC9l7jJMiuAuRtnrhi7OKkkO5k0FTNBu6LByCKrko48ckLIY4yvakF0AyZC7WY8MRUM=s1360-w1360-h1020-rw,
"('node', 4869372313)",Samwon,10.7325567,106.7102193,restaurant,korean,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiye19dfQIuqvrQpceLSzp_2lic6RU1riwU57TezDB6mzfl9lsMBbbAMWVz2G9IMC9x-JpVxr9_z4yJwFbGCIu4jf_p04HPnSiN1db_jHxlzZY9FN21RIFb93Ep3ElkBYP_-in=s1360-w1360-h1020-rw,
"('node', 4883409088)",O Tem,10.7304964,106.7083692,restaurant,vietnamese;hue,https://lh3.googleusercontent.com/p/AF1QipNbQc9mzaz7y656_kSQykZteX_uXJNjKEx8aC5_=s1360-w1360-h1020-rw,
"('node', 5001507622)",Phố Nhật Quán,10.7653734,106.6968847,restaurant,ramen;soba;curry;sushi;asian;japanese;grill;seafood;fish;diner,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyxNknXutt7ArEMQI-L6-Y5Ejq85tSSDqwN5aJ8eiGum4A4NcJ6SsUvlOPxc1yfeGcXIrvkQdMae9uzJb3RyMC9779aTUBLnRRNs_Mz9_XsujQoR0ytAAnB7Gg_HC7TbkMzVmqDhg=s1360-w1360-h1020-rw,
"('node', 5003536418)",Nhà Hàng Bông Súng,10.7782363,106.6990416,restaurant,vietnamese;asian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyM4cNSWb6ZMTFYWiqFmLYmiLSNR6_xxuzPuK0OPbvdok4fIaW6vFOtabcb9LHR1hr4oyLcpZfVt9yQPUNBaI9TmaMeL-SLRNmUZpVW3IZT4C2Rg9qJjt1nt9-xI69EIDTrkor8=s1360-w1360-h1020-rw,
